,Date,ID,ndc
272,2022-07-07,MSU17375,2
273,2022-07-07,MSU17364,1
274,2022-07-07,MSU12969,1
275,2022-07-07,MSU17519,1
276,2022-07-07,MSU17563,1
277,2022-07-07,MSU17366,1
278,2022-07-07,MSU17430,1
279,2022-07-07,MSU17431,1
280,2022-07-07,MSU17424,1
281,2022-07-07,MSU12968,1
282,2022-07-07,MSU15034,1
283,2022-07-07,MSU17585,1
284,2022-07-07,MSU17605,1
285,2022-07-07,MSU17571,1
286,2022-07-07,MSU17764,1
287,2022-07-07,MSU12935,1
288,2022-07-07,MSU17444,2
289,2022-07-07,MSU17734,1
290,2022-07-07,MSU17742,2
291,2022-07-07,MSU12952,1
292,2022-07-07,MSU17877,2
293,2022-07-07,MSU07802,1
294,2022-07-07,MSU17944,2
295,2022-07-07,MSU17713,2
296,2022-07-07,MSU08087,2
297,2022-07-07,MSU15083,1
298,2022-07-07,MSU18009,1
299,2022-07-07,MSU15425,2
300,2022-07-07,MSU17855,2
301,2022-07-07,MSU12970,2
302,2022-07-07,MSU18007,2
303,2022-07-07,MSU17891,1
304,2022-07-07,MSU17983,1
305,2022-07-07,MSU17473,2
306,2022-07-07,MSU17977,2
307,2022-07-07,MSU17955,1
308,2022-07-07,MSU13064,1
309,2022-07-07,MSU17999,2
310,2022-07-07,MSU17968,1
311,2022-07-07,MSU13046,1
312,2022-07-07,MSU12937,4
313,2022-07-07,MSU13068,2
314,2022-07-07,MSU17954,2
315,2022-07-07,MSU17636,2
316,2022-07-07,MSU15048,2
317,2022-07-07,MSU17268,1
318,2022-07-07,MSU17988,1
319,2022-07-07,MSU18026,2
320,2022-07-07,MSU04654,1
321,2022-07-07,MSU17893,2
322,2022-07-07,MSU17892,2
323,2022-07-07,MSU18043,1
324,2022-07-07,MSU18049,1
325,2022-07-07,MSU13067,1
326,2022-07-07,MSU17876,1
327,2022-07-07,MSU17860,2
328,2022-07-07,MSU17767,2
329,2022-07-07,MSU18051,2
330,2022-07-07,MSU18035,2
331,2022-07-07,MSU17717,2
332,2022-07-07,MSU17974,3
333,2022-07-07,MSU15038,3
334,2022-07-07,MSU18047,1
335,2022-07-07,MSU15705,3
336,2022-07-07,MSU15073,1
337,2022-07-07,MSU17837,3
338,2022-07-07,MSU17851,3
339,2022-07-07,MSU13045,1
340,2022-07-07,MSU17854,3
341,2022-07-07,MSU13040,1
342,2022-07-07,MSU15027,3
343,2022-07-07,MSU15035,1
344,2022-07-07,MSU13005,1
345,2022-07-07,MSU15031,1
346,2022-07-07,MSU15053,1
347,2022-07-07,MSU13055,1
348,2022-07-07,MSU15052,1
349,2022-07-07,MSU12959,3
350,2022-07-07,MSU12931,1
351,2022-07-07,MSU15049,1
352,2022-07-07,MSU13066,8
353,2022-07-07,MSU17736,1
354,2022-07-07,MSU15044,3
355,2022-07-07,MSU17960,6
356,2022-07-07,MSU12962,1
357,2022-07-07,MSU17847,1
358,2022-07-07,MSU13013,1
359,2022-07-07,MSU12998,1
360,2022-07-07,MSU17869,1
361,2022-07-07,MSU13012,1
362,2022-07-07,MSU13043,1
363,2022-07-07,MSU15026,1
364,2022-07-07,MSU15062,3
365,2022-07-07,MSU12965,7
366,2022-07-07,MSU18071,1
367,2022-07-07,MSU13056,1
368,2022-07-07,MSU18003,2
369,2022-07-07,MSU12972,2
370,2022-07-07,MSU07798,2
371,2022-07-07,MSU15039,2
372,2022-07-07,MSU18017,2
373,2022-07-07,MSU13039,4
374,2022-07-07,MSU12954,4
375,2022-07-07,MSU15064,4
376,2022-07-07,MSU12929,2
377,2022-07-07,MSU17580,2
378,2022-07-07,MSU12996,4
379,2022-07-07,MSU15066,2
380,2022-07-07,MSU13024,5
381,2022-07-07,MSU18073,2
382,2022-07-07,MSU17934,2
383,2022-07-07,MSU13044,6
384,2022-07-07,MSU17454,7
385,2022-07-07,MSU08156,2
386,2022-07-07,MSU17966,7
387,2022-07-07,MSU18013,2
388,2022-07-07,MSU07426,2
389,2022-07-07,MSU12930,2
390,2022-07-07,MSU13021,5
391,2022-07-07,MSU13054,2
392,2022-07-07,MSU12964,2
393,2022-07-07,MSU17405,2
394,2022-07-07,MSU13047,2
395,2022-07-07,MSU13065,2
396,2022-07-07,MSU13020,2
397,2022-07-07,MSU15503,5
398,2022-07-07,MSU13042,2
399,2022-07-07,MSU12971,2
400,2022-07-07,MSU13058,7
401,2022-07-07,MSU17874,5
402,2022-07-07,MSU17853,3
403,2022-07-07,MSU03899,2
404,2022-07-07,MSU17961,4
405,2022-07-07,MSU17738,5
406,2022-07-07,MSU15074,5
407,2022-07-07,MSU15032,2
408,2022-07-07,MSU15056,2
409,2022-07-07,MSU12997,3
410,2022-07-07,MSU13016,2
411,2022-07-07,MSU17708,2
412,2022-07-07,MSU17852,2
413,2022-07-07,MSU16318,2
414,2022-07-07,MSU15091,2
415,2022-07-07,MSU15041,3
416,2022-07-07,MSU17826,2
417,2022-07-07,MSU15152,2
418,2022-07-07,MSU15103,2
419,2022-07-07,MSU17204,3
420,2022-07-07,MSU17501,2
421,2022-07-07,MSU15122,3
422,2022-07-07,MSU17061,2
423,2022-07-07,MSU15086,2
424,2022-07-07,MSU17236,2
425,2022-07-07,MSU15109,2
426,2022-07-07,MSU15157,2
427,2022-07-07,MSU15096,2
428,2022-07-07,MSU17229,2
429,2022-07-07,MSU17590,2
430,2022-07-07,MSU15127,2
431,2022-07-07,MSU17987,4
432,2022-07-07,MSU17900,3
433,2022-07-07,MSU17830,2
434,2022-07-07,MSU15104,2
435,2022-07-07,MSU17247,1
436,2022-07-07,MSU17260,1
437,2022-07-07,MSU17989,1
438,2022-07-07,MSU15043,1
439,2022-07-07,MSU17549,2
440,2022-07-07,MSU17324,1
441,2022-07-07,MSU17465,2
442,2022-07-07,MSU16287,2
443,2022-07-07,MSU17362,1
444,2022-07-07,MSU17403,1
445,2022-07-07,MSU17522,1
446,2022-07-07,MSU17257,1
447,2022-07-07,MSU18069,1
448,2022-07-07,MSU15075,1
449,2022-07-07,MSU18077,2
450,2022-07-07,MSU17316,1
451,2022-07-07,MSU18062,3
452,2022-07-07,MSU18079,1
453,2022-07-07,MSU17641,3
454,2022-07-07,MSU18046,2
455,2022-07-07,MSU17455,2
456,2022-07-07,MSU15530,1
457,2022-07-07,MSU15081,3
458,2022-07-07,MSU17849,1
459,2022-07-07,MSU16268,3
460,2022-07-07,MSU16270,3
461,2022-07-07,MSU18078,1
462,2022-07-07,MSU15100,1
463,2022-07-07,MSU18054,1
464,2022-07-07,MSU18030,2
465,2022-07-07,MSU18057,1
466,2022-07-07,MSU17840,1
467,2022-07-07,MSU17000,2
468,2022-07-07,MSU15094,2
469,2022-07-07,MSU17293,1
470,2022-07-07,MSU16428,1
471,2022-07-07,MSU18001,1
472,2022-07-07,MSU15077,2
