MSU22081	11/30/2022	0.546
MSU21907	11/4/2022	0.544
MSU22321	11/16/2022	0.546
MSU22330	11/18/2022	0.546
MSU22337	11/18/2022	0.543
MSU24184	1/23/2023	0.543
MSU24470	1/27/2023	0.543
MSU23243	1/12/2023	0.542
MSU24287	1/23/2023	0.544
MSU20424	10/13/2022	0.541
MSU23946	1/18/2023	0.544
MSU23607	1/10/2023	0.543
MSU20563	12/27/2022	0.542
MSU23900	1/18/2023	0.543
MSU24256	1/23/2023	0.543
MSU22611	12/1/2022	0.541
MSU23895	1/18/2023	0.541
MSU23873	1/18/2023	0.542
MSU23874	1/18/2023	0.542
MSU23188	1/17/2023	0.543
MSU22124	11/10/2022	0.542
MSU24124	1/25/2023	0.541
MSU23947	1/18/2023	0.547
MSU23274	1/13/2023	0.542
MSU23901	1/18/2023	0.546
MSU23950	1/18/2023	0.542
MSU23205	1/13/2023	0.542
MSU23275	1/13/2023	0.542
MSU23184	1/17/2023	0.543
MSU21985	11/3/2022	0.546
MSU22430	11/17/2022	0.542
MSU22434	11/17/2022	0.541
MSU21106	11/2/2022	0.542
MSU20977	11/7/2022	0.547
MSU20950	11/7/2022	0.545
MSU22103	11/16/2022	0.551
MSU22505	11/21/2022	0.546
MSU22106	11/11/2022	0.543
MSU22438	11/18/2022	0.541
MSU22085	11/16/2022	0.546
MSU22501	11/21/2022	0.546
MSU22545	11/21/2022	0.542
MSU22542	11/21/2022	0.549
MSU22500	11/21/2022	0.543
MSU22237	11/28/2022	0.545
MSU22141	11/9/2022	0.543
MSU22138	11/9/2022	0.546
MSU22506	11/21/2022	0.545
MSU22132	11/9/2022	0.541
MSU20980	11/7/2022	0.543
MSU22208	11/14/2022	0.553
MSU20756	12/20/2022	0.543
MSU20969	11/7/2022	0.547
MSU22064	11/30/2022	0.545
MSU22184	11/10/2022	0.547
MSU20744	12/15/2022	0.543
MSU20869	12/2/2022	0.541
MSU23148	12/9/2022	0.542
MSU23136	12/9/2022	0.544
MSU20726	12/21/2022	0.543
MSU22425	11/17/2022	0.541
MSU22646	12/14/2022	0.545
MSU21248	10/27/2022	0.541
MSU18993	9/28/2022	0.541
MSU22645	12/14/2022	0.548
MSU22586	11/30/2022	0.547
MSU20636	12/27/2022	0.544
MSU20775	12/15/2022	0.546
MSU20753	12/20/2022	0.550
MSU22642	12/14/2022	0.542
MSU23147	12/9/2022	0.544
MSU23212	1/10/2023	0.543
MSU22619	11/30/2022	0.546
MSU20489	1/4/2023	0.541
MSU22311	11/14/2022	0.543
MSU20794	12/27/2022	0.548
MSU20492	1/4/2023	0.543
MSU20738	12/15/2022	0.541
MSU22593	12/1/2022	0.542
MSU23169	12/9/2022	0.546
MSU20857	12/2/2022	0.548
MSU20734	12/15/2022	0.552
MSU22618	12/1/2022	0.543
MSU20882	12/2/2022	0.548
MSU20553	1/3/2023	0.544
MSU23130	12/9/2022	0.543
MSU22566	12/2/2022	0.542
