Operator		Date		tubeID		Length	Density	Frequency Tension	TError	   SHIPMENT   T(db)[g]				         MSU 1st T  MSU T[g]
K.Ream  	31-01-2023 10:07:53	MSU23240	1624.68	38.50	93.33	361.329872	1.077482  2023-01-20  350.322  DATA/tension_20230131_104907.log	 2023/01/12  355.45
Saarthak	15-02-2023 12:27:38	MSU23242	1624.34	38.50	92.33	353.480574	1.063316  2023-01-20  342.855  DATA/tension_20230215_135738.log	 2023/01/13  344.31
K.Ream  	31-01-2023 10:15:29	MSU23243	1624.50	38.50	91.33	345.933557	1.049874  2023-01-20  335.469  DATA/tension_20230131_104907.log	 2023/01/12  344.31
K.Ream  	31-01-2023 10:46:00	MSU23245	1624.56	38.50	91.67	348.488969	1.054495  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/13  340.64
K.Ream  	01-02-2023 09:25:13	MSU23248	1624.45	38.50	92.33	353.528451	1.063460  2023-01-26  342.855  DATA/tension_20230201_101559.log	 2023/01/13  348.00
Saarthak	15-02-2023 12:21:00	MSU23250	1624.47	38.50	92.00	350.989149	1.058928  2023-01-26  340.409  DATA/tension_20230215_135738.log	 2023/01/13  344.31
Saarthak	15-02-2023 12:21:43	MSU23253	1624.44	38.50	92.33	353.524099	1.063447  2023-01-26  342.855  DATA/tension_20230215_135738.log	 2023/01/13  348.00
Saarthak	15-02-2023 13:08:20	MSU23254	1624.33	38.50	92.33	353.476222	1.063303  2023-02-03  342.855  DATA/tension_20230215_135738.log	 2023/01/13  348.00
Saarthak	15-02-2023 12:22:16	MSU23255	1624.53	38.50	92.00	351.015077	1.059007  2023-01-26  340.409  DATA/tension_20230215_135738.log	 2023/01/13  348.00
Saarthak	15-02-2023 12:56:46	MSU23272	1624.32	38.50	91.67	348.386010	1.054184  2023-02-03  337.971  DATA/tension_20230215_135738.log	 2023/01/19  344.31
Saarthak	15-02-2023 13:18:24	MSU23273	1624.60	38.50	92.00	351.045328	1.059098  2023-02-03  340.409  DATA/tension_20230215_135738.log	 2023/01/13  344.31
Saarthak	15-02-2023 13:43:27	MSU23588	1624.49	38.50	92.33	353.545862	1.063512  2023-02-03  342.855  DATA/tension_20230215_135738.log	 2023/01/13  344.31
K.Ream  	01-02-2023 09:28:02	MSU23591	1624.42	38.50	91.67	348.428908	1.054313  2023-01-26  337.971  DATA/tension_20230201_101559.log	 2023/01/13  340.64
K.Ream  	31-01-2023 09:47:55	MSU23593	1624.72	38.50	92.67	356.203991	1.068380  2023-01-20  345.385  DATA/tension_20230131_104907.log	 2023/01/10  340.64
K.Ream  	31-01-2023 09:46:52	MSU23607	1624.56	38.50	92.00	351.028042	1.059046  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/10  348.00
K.Ream  	31-01-2023 09:47:25	MSU23610	1624.89	38.50	93.00	358.846301	1.073178  2023-01-20  347.849  DATA/tension_20230131_104907.log	 2023/01/11  351.72
K.Ream  	31-01-2023 10:04:49	MSU23626	1624.41	38.50	91.67	348.424618	1.054300  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/11  348.00
K.Ream  	31-01-2023 10:09:21	MSU23629	1624.41	38.50	92.00	350.963222	1.058850  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/11  348.00
K.Ream  	31-01-2023 10:26:34	MSU23640	1624.44	38.50	92.00	350.976186	1.058889  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/11  344.31
Saarthak	15-02-2023 13:24:23	MSU23659	1624.47	38.50	88.00	321.131849	1.004801  2023-01-20  311.451  DATA/tension_20230215_135738.log	 2023/01/11  348.00
Saarthak	15-02-2023 13:14:55	MSU23672	1624.25	38.50	92.33	353.441405	1.063198  2023-02-03  342.855  DATA/tension_20230215_135738.log	 2023/01/13  340.64
Saarthak	15-02-2023 13:16:38	MSU23673	1624.33	38.50	91.33	345.861159	1.049654  2023-02-03  335.469  DATA/tension_20230215_135738.log	 2023/01/13  336.99
K.Ream  	31-01-2023 10:35:53	MSU23677	1624.56	38.50	92.00	351.028042	1.059046  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/13  348.00
K.Ream  	01-02-2023 09:29:54	MSU23678	1624.34	38.50	91.67	348.394589	1.054209  2023-01-26  337.971  DATA/tension_20230201_101559.log	 2023/01/17  344.31
K.Ream  	31-01-2023 10:39:48	MSU23680	1624.64	38.50	91.67	348.525437	1.054605  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/13  344.31
Saarthak	15-02-2023 12:28:11	MSU23682	1624.26	38.50	92.33	353.445757	1.063211  2023-01-26  342.855  DATA/tension_20230215_135738.log	 2023/01/17  348.00
Saarthak	15-02-2023 12:29:18	MSU23683	1624.42	38.50	92.00	350.967543	1.058863  2023-01-20  340.409  DATA/tension_20230215_135738.log	 2023/01/13  340.64
Saarthak	15-02-2023 13:01:38	MSU23685	1624.64	38.50	92.00	351.062615	1.059150  2023-02-03  340.409  DATA/tension_20230215_135738.log	 2023/01/13  348.00
Saarthak	15-02-2023 13:39:59	MSU23688	1624.50	38.50	91.67	348.463227	1.054417  2023-02-03  337.971  DATA/tension_20230215_135738.log	 2023/01/17  340.64
Saarthak	15-02-2023 13:52:46	MSU23692	1624.40	38.50	91.33	345.890969	1.049745  2023-01-26  335.469  DATA/tension_20230215_135738.log	 2023/01/17  348.00
Saarthak	15-02-2023 13:49:20	MSU23693	1624.47	38.50	92.00	350.989149	1.058928  2023-02-03  340.409  DATA/tension_20230215_135738.log	 2023/01/13  355.45
