,Date,ID,ndc
4373,2022-04-22,MSU11938,2
4374,2022-04-22,MSU16103,2
4375,2022-04-22,MSU15919,2
4376,2022-04-22,MSU16541,1
4377,2022-04-22,MSU15812,2
4378,2022-04-22,MSU16823,1
4379,2022-04-22,MSU16225,1
4380,2022-04-22,MSU15813,1
4381,2022-04-22,MSU16858,1
4382,2022-04-22,MSU16369,1
4383,2022-04-22,MSU16572,1
4384,2022-04-22,MSU13617,1
4385,2022-04-22,MSU16155,1
4386,2022-04-22,MSU14921,1
4387,2022-04-22,MSU16693,1
4388,2022-04-22,MSU16190,1
4389,2022-04-22,MSU10112,1
4390,2022-04-22,MSU16661,1
4391,2022-04-22,MSU16548,1
4392,2022-04-22,MSU15132,1
4393,2022-04-22,MSU15463,1
4394,2022-04-22,MSU15665,1
4395,2022-04-22,MSU16559,1
4396,2022-04-22,MSU16374,1
4397,2022-04-22,MSU16626,2
4398,2022-04-22,MSU16644,1
4399,2022-04-22,MSU15833,2
4400,2022-04-22,MSU13071,1
4401,2022-04-22,MSU16746,1
4402,2022-04-22,MSU16563,1
4403,2022-04-22,MSU14676,1
4404,2022-04-22,MSU16649,2
4405,2022-04-22,MSU16182,1
4406,2022-04-22,MSU15786,1
4407,2022-04-22,MSU15344,1
4408,2022-04-22,MSU16728,1
4409,2022-04-22,MSU16647,1
4410,2022-04-22,MSU16147,2
4411,2022-04-22,MSU16665,1
4412,2022-04-22,MSU15348,2
4413,2022-04-22,MSU12679,1
4414,2022-04-22,MSU16091,1
4415,2022-04-22,MSU10669,1
4416,2022-04-22,MSU16102,1
4417,2022-04-22,MSU15657,1
4418,2022-04-22,MSU16457,1
4419,2022-04-22,MSU10369,1
4420,2022-04-22,MSU16760,1
4421,2022-04-22,MSU16674,1
4422,2022-04-22,MSU16569,1
4423,2022-04-22,MSU15561,1
4424,2022-04-22,MSU16532,1
4425,2022-04-22,MSU16530,2
4426,2022-04-22,MSU16568,2
4427,2022-04-22,MSU15725,1
4428,2022-04-22,MSU16223,1
4429,2022-04-22,MSU15625,4
4430,2022-04-22,MSU16454,2
4431,2022-04-22,MSU16642,3
4432,2022-04-22,MSU16666,3
4433,2022-04-22,MSU16043,2
4434,2022-04-22,MSU16710,2
4435,2022-04-22,MSU16514,2
4436,2022-04-22,MSU15577,2
4437,2022-04-22,MSU16452,2
4438,2022-04-22,MSU16717,2
4439,2022-04-22,MSU16585,2
4440,2022-04-22,MSU15313,6
